,Request #,Date / Time Opened,Contact Type,Preferred Language,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
3795,438457,08/05/2020 07:01:08 PM,,,False,2324 Lebanon Pike,NASHVILLE,15.0,37214.0,36.17083933737319,-86.68361475188713,"(36.17083933737319, -86.68361475188712)"
3796,366268,05/13/2020 04:09:20 AM,,,False,3005 West End Ave,NASHVILLE,21.0,37203.0,36.143558399999996,-86.81376970000001,"(36.1435584, -86.8137697)"
3797,365220,05/12/2020 04:47:29 PM,,,False,26 Century Blvd,NASHVILLE,15.0,37214.0,36.150079999999996,-86.68519,"(36.15008, -86.68519)"
3798,366158,05/12/2020 09:35:28 PM,,,False,2517 Lebanon Pike,NASHVILLE,15.0,37214.0,36.1692174,-86.67790459999998,"(36.1692174, -86.67790459999999)"
3799,366595,05/13/2020 04:00:51 PM,,,False,2517 Lebanon Pike,NASHVILLE,15.0,37214.0,36.16922,-86.6779,"(36.16922, -86.6779)"
3800,367155,05/13/2020 11:46:12 PM,,,False,501 Metroplex Dr,NASHVILLE,13.0,37211.0,36.08973451157578,-86.70160050000001,"(36.08973451157577, -86.70160050000001)"
3801,364971,05/12/2020 02:32:54 PM,,,False,2511 Gallatin Ave,NASHVILLE,5.0,37206.0,36.195523761620734,-86.74303950674592,"(36.195523761620734, -86.7430395067459)"
3802,365824,05/12/2020 06:08:43 PM,,,False,301 Ezell Pike,NASHVILLE,28.0,37217.0,36.10337,-86.67233,"(36.10337, -86.67233)"
3803,365234,05/12/2020 04:53:22 PM,,,False,7040 Hwy 70 S,NASHVILLE,23.0,37221.0,36.0757664,-86.9199532,"(36.0757664, -86.9199532)"
3804,438736,08/05/2020 10:30:17 PM,,,False,1116 Dickerson Pike,NASHVILLE,5.0,37207.0,36.191571911619036,-86.77302600674592,"(36.19157191161904, -86.77302600674592)"
3805,375588,05/24/2020 04:12:51 PM,,,False,5010 Old Hickory Blvd,HERMITAGE,11.0,37076.0,36.194315206183376,-86.61481133054713,"(36.194315206183376, -86.61481133054713)"
3806,366975,05/13/2020 08:24:12 PM,,,False,5520 Old Hickory Blvd,HERMITAGE,12.0,37076.0,36.18077,-86.60633,"(36.18077, -86.60633)"
